iter	Passed	Remaining
0	129	64466
1	142	35412
2	152	25339
3	165	20533
4	182	18092
5	212	17467
6	239	16875
7	273	16815
8	285	15595
9	299	14676
10	316	14080
11	340	13843
12	376	14106
13	396	13767
14	409	13254
15	431	13051
16	448	12746
17	464	12430
18	477	12080
19	486	11677
20	494	11273
21	502	10911
22	515	10683
23	529	10496
24	560	10654
25	596	10877
26	609	10670
27	629	10608
28	647	10508
29	668	10476
30	686	10390
31	700	10246
32	722	10223
33	738	10115
34	755	10033
35	775	9995
36	799	10008
37	821	9982
38	845	9990
39	862	9915
40	878	9839
41	902	9843
42	935	9938
43	954	9893
44	972	9834
45	988	9757
46	1003	9669
47	1022	9632
48	1042	9594
49	1062	9563
50	1085	9556
51	1112	9586
52	1136	9583
53	1155	9544
54	1176	9515
55	1192	9451
56	1220	9489
57	1246	9498
58	1261	9428
59	1281	9398
60	1300	9361
61	1324	9358
62	1343	9320
63	1361	9277
64	1377	9217
65	1392	9153
66	1406	9089
67	1420	9025
68	1447	9041
69	1465	9002
70	1482	8959
71	1506	8957
72	1526	8927
73	1551	8930
74	1570	8902
75	1588	8864
76	1611	8853
77	1638	8866
78	1653	8813
79	1671	8775
80	1701	8802
81	1720	8771
82	1738	8732
83	1754	8691
84	1779	8688
85	1798	8658
86	1833	8704
87	1861	8715
88	1901	8782
89	1925	8772
90	1953	8781
91	1998	8861
92	2016	8824
93	2034	8786
94	2052	8750
95	2081	8759
96	2110	8768
97	2130	8738
98	2151	8712
99	2174	8697
100	2190	8654
101	2202	8593
102	2211	8524
103	2224	8469
104	2242	8435
105	2263	8412
106	2278	8370
107	2290	8312
108	2305	8269
109	2317	8216
110	2330	8167
111	2358	8169
112	2379	8148
113	2400	8129
114	2426	8124
115	2446	8097
116	2467	8077
117	2493	8073
118	2518	8062
119	2548	8069
120	2569	8047
121	2597	8048
122	2619	8030
123	2633	7986
124	2651	7953
125	2668	7921
126	2700	7932
127	2718	7899
128	2750	7909
129	2782	7918
130	2799	7886
131	2815	7848
132	2831	7812
133	2848	7778
134	2893	7821
135	2915	7802
136	2943	7797
137	2969	7790
138	2988	7761
139	3012	7746
140	3026	7706
141	3043	7673
142	3057	7633
143	3079	7613
144	3093	7574
145	3111	7544
146	3139	7539
147	3160	7516
148	3192	7519
149	3227	7531
150	3245	7500
151	3268	7483
152	3280	7440
153	3298	7410
154	3330	7412
155	3357	7403
156	3383	7391
157	3413	7387
158	3425	7346
159	3442	7315
160	3473	7314
161	3500	7304
162	3530	7300
163	3552	7277
164	3577	7263
165	3605	7253
166	3630	7239
167	3660	7234
168	3670	7188
169	3696	7175
170	3719	7155
171	3749	7149
172	3776	7138
173	3795	7110
174	3821	7097
175	3842	7073
176	3855	7036
177	3878	7015
178	3890	6976
179	3902	6937
180	3934	6934
181	3950	6903
182	3969	6876
183	4001	6871
184	4016	6838
185	4034	6810
186	4052	6783
187	4079	6770
188	4099	6745
189	4123	6728
190	4145	6706
191	4170	6689
192	4202	6684
193	4217	6651
194	4232	6619
195	4257	6603
196	4271	6570
197	4290	6543
198	4307	6515
199	4327	6491
200	4348	6467
201	4367	6443
202	4386	6417
203	4399	6383
204	4418	6358
205	4441	6339
206	4458	6310
207	4469	6273
208	4485	6245
209	4517	6239
210	4544	6223
211	4561	6196
212	4583	6176
213	4599	6146
214	4614	6116
215	4630	6088
216	4653	6069
217	4674	6046
218	4695	6025
219	4727	6016
220	4755	6003
221	4788	5996
222	4805	5969
223	4831	5953
224	4857	5937
225	4879	5916
226	4902	5896
227	4924	5874
228	4959	5868
229	4982	5848
230	5001	5824
231	5014	5793
232	5032	5767
233	5051	5742
234	5070	5718
235	5087	5691
236	5109	5670
237	5137	5655
238	5175	5652
239	5189	5621
240	5203	5591
241	5224	5570
242	5245	5547
243	5270	5529
244	5292	5509
245	5312	5485
246	5331	5461
247	5356	5442
248	5377	5420
249	5396	5396
250	5421	5378
251	5438	5352
252	5450	5320
253	5460	5288
254	5473	5258
255	5512	5254
256	5544	5242
257	5579	5233
258	5594	5206
259	5610	5179
260	5625	5151
261	5648	5131
262	5671	5110
263	5690	5086
264	5710	5064
265	5733	5044
266	5748	5016
267	5769	4994
268	5792	4974
269	5813	4952
270	5832	4928
271	5856	4909
272	5871	4881
273	5905	4871
274	5926	4848
275	5940	4821
276	5960	4798
277	5984	4779
278	6000	4752
279	6014	4725
280	6036	4704
281	6052	4678
282	6069	4653
283	6083	4627
284	6109	4608
285	6119	4579
286	6140	4557
287	6167	4539
288	6191	4520
289	6218	4502
290	6238	4480
291	6250	4452
292	6261	4423
293	6287	4405
294	6307	4383
295	6320	4356
296	6335	4330
297	6349	4303
298	6368	4281
299	6391	4261
300	6406	4235
301	6430	4215
302	6447	4191
303	6478	4176
304	6497	4154
305	6514	4129
306	6528	4104
307	6545	4080
308	6565	4058
309	6586	4037
310	6607	4015
311	6628	3993
312	6647	3971
313	6663	3947
314	6674	3919
315	6686	3893
316	6697	3866
317	6712	3841
318	6726	3816
319	6743	3793
320	6769	3774
321	6791	3754
322	6821	3737
323	6830	3710
324	6850	3688
325	6862	3662
326	6877	3638
327	6908	3622
328	6942	3608
329	6959	3584
330	6971	3559
331	6988	3536
332	7007	3514
333	7031	3494
334	7048	3471
335	7064	3448
336	7076	3422
337	7087	3396
338	7103	3373
339	7119	3350
340	7145	3331
341	7157	3306
342	7173	3283
343	7200	3265
344	7220	3244
345	7235	3220
346	7253	3198
347	7269	3175
348	7297	3157
349	7315	3135
350	7333	3113
351	7347	3089
352	7365	3067
353	7378	3043
354	7400	3022
355	7419	3000
356	7437	2979
357	7464	2960
358	7489	2941
359	7504	2918
360	7526	2897
361	7542	2875
362	7557	2852
363	7568	2827
364	7580	2803
365	7600	2782
366	7617	2760
367	7630	2736
368	7646	2714
369	7665	2693
370	7693	2674
371	7718	2655
372	7741	2635
373	7756	2613
374	7778	2592
375	7812	2576
376	7830	2554
377	7843	2531
378	7871	2513
379	7889	2491
380	7908	2469
381	7929	2449
382	7951	2428
383	7972	2408
384	7987	2385
385	8005	2364
386	8020	2341
387	8035	2319
388	8057	2299
389	8076	2278
390	8104	2259
391	8139	2242
392	8157	2221
393	8173	2199
394	8189	2176
395	8208	2155
396	8225	2133
397	8239	2111
398	8267	2092
399	8286	2071
400	8306	2050
401	8325	2029
402	8342	2007
403	8358	1986
404	8390	1968
405	8419	1949
406	8445	1929
407	8473	1910
408	8506	1892
409	8529	1872
410	8552	1851
411	8571	1830
412	8596	1810
